t,unc_nS_mean,unc_nS_std,unc_nR_mean,unc_nR_std,opt_nS_mean,opt_nS_std,opt_nR_mean,opt_nR_std
0.0,50.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0
0.1338,44.9754,3.8505,1.039,0.2773,45.1145,3.5404,1.0416,0.3134
0.2676,40.8812,5.0124,1.0717,0.4422,41.1651,4.7533,1.0972,0.4687
0.4013,37.4131,5.5083,1.0811,0.5194,37.3963,5.6046,1.1346,0.5575
0.5351,34.0556,6.1228,1.1395,0.6509,33.9128,6.1349,1.1908,0.6598
0.6689,30.9389,6.4722,1.1949,0.7148,30.7263,6.1826,1.227,0.7465
0.8027,28.1246,6.7753,1.2399,0.8059,27.8589,6.4125,1.2708,0.815
0.9365,25.4896,6.6244,1.2975,0.9046,25.2801,6.5896,1.3259,0.8847
1.0702,23.2335,6.6908,1.3604,1.0059,23.316,6.5066,1.3806,0.9623
1.204,21.3058,6.6194,1.3968,1.0799,21.3881,6.2189,1.4351,1.0264
1.3378,19.2739,6.2528,1.4475,1.159,19.5331,5.9356,1.4974,1.1262
1.4716,17.4693,6.1529,1.5338,1.26,18.0184,5.9168,1.5131,1.1971
1.6054,15.869,6.151,1.6098,1.3716,16.6282,5.7643,1.5602,1.3015
1.7391,14.3045,5.8817,1.6611,1.49,15.1465,5.4877,1.5983,1.3654
1.8729,13.1629,5.7046,1.7433,1.6008,13.8274,5.3246,1.6922,1.4813
2.0067,11.9894,5.6892,1.792,1.7032,12.6106,5.2821,1.7798,1.6139
2.1405,10.8664,5.463,1.8429,1.791,11.593,5.3013,1.8658,1.7483
2.2742,9.9366,5.2535,1.8866,1.8443,10.6556,5.2223,1.9397,1.8589
2.408,9.1507,5.1761,1.9497,1.9473,9.7542,4.9409,2.0024,1.9518
2.5418,8.2266,4.8151,1.9809,2.0353,8.9528,4.8314,2.1114,2.1309
2.6756,7.5281,4.6569,2.0663,2.1865,8.1366,4.7282,2.1748,2.2305
2.8094,6.8335,4.4134,2.1434,2.3174,7.4016,4.4397,2.2837,2.4079
2.9431,6.1769,4.2549,2.2316,2.4498,6.7527,4.3759,2.3945,2.5521
3.0769,5.582,4.0184,2.3081,2.5622,6.2007,4.3722,2.4999,2.6998
3.2107,5.0348,3.8637,2.381,2.6825,5.6165,4.2483,2.5585,2.7703
3.3445,4.6042,3.7088,2.4713,2.8333,5.0732,4.175,2.6526,2.927
3.4783,4.1984,3.5845,2.5486,2.9392,4.5079,3.8558,2.7505,3.0554
3.612,3.817,3.4317,2.6229,3.0766,4.0676,3.7085,2.8311,3.1788
3.7458,3.4814,3.2581,2.739,3.2536,3.7441,3.6172,2.9534,3.3876
3.8796,3.1565,3.1087,2.8238,3.4246,3.4333,3.5291,3.0468,3.4857
4.0134,2.8435,2.9034,2.9442,3.6311,3.111,3.3561,3.145,3.6372
4.1472,2.6032,2.778,3.055,3.764,2.8063,3.1703,3.2741,3.7959
4.2809,2.3237,2.55,3.162,3.9603,2.5534,3.0107,3.4021,4.0034
4.4147,2.0846,2.445,3.2733,4.1354,2.3188,2.8778,3.5262,4.1292
4.5485,1.8479,2.2484,3.3621,4.2578,2.07,2.6521,3.6006,4.2381
4.6823,1.6353,2.0745,3.4751,4.4395,1.8536,2.4826,3.725,4.4041
4.8161,1.4778,1.9613,3.6064,4.6471,1.7208,2.4694,3.8679,4.6147
4.9498,1.3456,1.9257,3.7385,4.7883,1.5596,2.3536,4.0186,4.8532
5.0836,1.1848,1.83,3.8659,4.9908,1.3715,2.2551,4.1933,5.0897
5.2174,1.1031,1.7961,3.9989,5.186,1.2619,2.2534,4.3335,5.2926
5.3512,1.0315,1.7574,4.1636,5.4106,1.1277,2.0533,4.4669,5.4556
5.4849,0.9241,1.676,4.3143,5.6751,1.012,1.9017,4.5996,5.6746
5.6187,0.8594,1.6355,4.4795,5.9851,0.9211,1.8212,4.7406,5.8601
5.7525,0.7632,1.525,4.6419,6.2989,0.8559,1.7648,4.8651,6.0409
5.8863,0.6825,1.4675,4.8184,6.5259,0.8008,1.7038,5.044,6.2871
6.0201,0.6328,1.4252,4.99,6.7658,0.7219,1.6101,5.2536,6.5447
6.1538,0.6201,1.4386,5.1402,7.0027,0.6688,1.5876,5.4277,6.8603
6.2876,0.563,1.359,5.2885,7.2506,0.6013,1.4908,5.6183,7.0778
6.4214,0.5317,1.3355,5.4614,7.5443,0.544,1.4293,5.8394,7.3519
6.5552,0.4619,1.2171,5.6136,7.7642,0.49,1.3649,6.0102,7.5837
6.689,0.4279,1.1364,5.7985,8.0676,0.4649,1.3384,6.2051,7.8524
6.8227,0.3741,1.034,5.9745,8.2736,0.4152,1.3032,6.425,8.1846
