run_id,t,nS,nR
0,0.0,50,1
0,0.37094,23,1
0,1.57778,9,1
0,4.9353,2,1
0,15.48015,0,25
0,17.90968,0,42
0,19.05457,0,61
0,20.43475,0,79
0,21.54008,0,98
0,22.3686,0,118
0,22.95393,0,135
0,23.39318,0,160
0,23.80555,0,188
0,24.16358,0,203
0,24.5703,0,221
0,24.95098,0,238
0,25.19344,0,249
0,25.51197,0,265
0,25.82367,0,280
0,26.10858,0,294
0,26.37388,0,311
0,26.575,0,340
0,26.8661,0,362
0,27.07119,0,381
0,27.2805,0,407
0,27.45058,0,420
0,27.62544,0,449
0,27.76996,0,469
0,27.98155,0,482
0,28.12863,0,502
0,28.24255,0,517
0,28.41045,0,536
0,28.58545,0,552
0,28.72233,0,563
0,28.84531,0,588
0,28.95802,0,606
0,29.07995,0,617
0,29.21001,0,625
0,29.32511,0,648
0,29.46162,0,671
0,29.57608,0,687
0,29.66984,0,698
0,29.75071,0,716
0,29.84402,0,737
0,29.94164,0,754
0,30.04412,0,776
0,30.13824,0,791
0,30.20128,0,797
0,30.301,0,810
0,30.4022,0,835
0,30.50566,0,863
0,30.57372,0,888
0,30.64631,0,906
0,30.75503,0,925
0,30.84145,0,936
0,30.92377,0,956
0,30.99515,0,983
0,31.06243,0,1007
0,31.14458,0,1026
0,31.21663,0,1049
0,31.25715,0,1073
0,31.32849,0,1084
0,31.42427,0,1102
0,31.4905,0,1125
0,31.55608,0,1152
0,31.62524,0,1172
0,31.68821,0,1197
0,31.75393,0,1217
0,31.81362,0,1242
0,31.8745,0,1253
0,31.93558,0,1277
0,32.00354,0,1296
0,32.04585,0,1310
0,32.10012,0,1327
0,32.15686,0,1338
0,32.22587,0,1354
0,32.2725,0,1359
0,32.32593,0,1379
0,32.38386,0,1402
0,32.44545,0,1415
0,32.5039,0,1429
0,32.54876,0,1454
0,32.60853,0,1472
0,32.65506,0,1499
0,32.70144,0,1510
0,32.74538,0,1518
0,32.80492,0,1539
0,32.85069,0,1563
0,32.91149,0,1586
0,32.96123,0,1613
0,33.00119,0,1633
0,33.04821,0,1646
0,33.10972,0,1658
0,33.15454,0,1679
0,33.19794,0,1700
0,33.23935,0,1712
0,33.29019,0,1737
0,33.33321,0,1754
0,33.38172,0,1782
0,33.42772,0,1803
0,33.46977,0,1823
0,33.51549,0,1836
0,33.54918,0,1857
0,33.59776,0,1871
0,33.63513,0,1886
0,33.68654,0,1900
0,33.72707,0,1913
0,33.76257,0,1936
0,33.78227,0,1958
0,33.81419,0,1979
0,33.84868,0,2007
0,33.8836,0,2024
0,33.92391,0,2037
0,33.96376,0,2055
0,34.01269,0,2076
0,34.05462,0,2096
0,34.09967,0,2115
0,34.13543,0,2132
0,34.16799,0,2150
0,34.19651,0,2161
0,34.23032,0,2179
0,34.26296,0,2188
0,34.293,0,2203
0,34.33609,0,2217
0,34.36987,0,2236
0,34.40342,0,2258
0,34.434,0,2279
0,34.46489,0,2286
0,34.49512,0,2304
0,34.53701,0,2333
0,34.5672,0,2347
0,34.59421,0,2362
0,34.62284,0,2377
0,34.65044,0,2393
0,34.67861,0,2404
0,34.70576,0,2424
0,34.73346,0,2443
0,34.75623,0,2466
0,34.78588,0,2486
0,34.81,0,2505
0,34.83608,0,2529
0,34.86176,0,2540
0,34.88505,0,2559
0,34.91219,0,2585
0,34.93422,0,2604
0,34.96995,0,2630
0,34.99949,0,2645
0,35.03,0,2672
0,35.0568,0,2684
0,35.08234,0,2707
0,35.11919,0,2723
0,35.14207,0,2746
0,35.17701,0,2767
0,35.20572,0,2791
0,35.23658,0,2808
0,35.26875,0,2832
0,35.29124,0,2849
0,35.31308,0,2864
0,35.34459,0,2886
0,35.36763,0,2909
0,35.38636,0,2922
0,35.41303,0,2940
0,35.43609,0,2963
0,35.45897,0,2981
0,35.47564,0,3008
0,35.49546,0,3033
0,35.52156,0,3049
0,35.54641,0,3068
0,35.57093,0,3088
0,35.59488,0,3111
0,35.62822,0,3128
0,35.6534,0,3142
0,35.67754,0,3161
0,35.70811,0,3187
0,35.73969,0,3206
0,35.76984,0,3211
0,35.78797,0,3223
0,35.80948,0,3254
0,35.83529,0,3270
0,35.85295,0,3275
0,35.87366,0,3300
0,35.89749,0,3316
0,35.91789,0,3337
0,35.93583,0,3349
0,35.95421,0,3374
0,35.97157,0,3389
0,35.98991,0,3405
0,36.01186,0,3412
0,36.03206,0,3432
0,36.04628,0,3441
0,36.06721,0,3454
0,36.08413,0,3474
0,36.11067,0,3493
0,36.13248,0,3517
0,36.14836,0,3526
0,36.17398,0,3549
0,36.19929,0,3565
0,36.21963,0,3588
0,36.23757,0,3600
