run_id,type,final_t,final_nS,final_nR,max_nS,max_nR,total_steps,eradicated,resistance,mean_k2,total_kl_cost
0,optimal_relaxed,39.99994,0,9352,50,9352,20657,0,1,1.499926,1.500073
1,optimal_relaxed,39.99991,0,10606,50,10607,23304,0,1,1.49988,3.199813
2,optimal_relaxed,6.74444,0,0,53,3,196,1,0,1.471024,7.77481
3,optimal_relaxed,6.8197,0,0,50,3,165,1,0,1.492292,2.976644
4,optimal_relaxed,6.64005,0,0,53,1,187,1,0,1.491796,3.701434
5,optimal_relaxed,5.52727,0,0,51,1,133,1,0,1.501985,0.818372
6,optimal_relaxed,39.99999,0,148539,52,148540,326054,0,1,1.499998,0.459115
7,optimal_relaxed,4.99887,0,0,50,3,185,1,0,1.493109,1.622335
8,optimal_relaxed,39.99977,0,472,50,472,1261,0,1,1.497346,5.197092
9,optimal_relaxed,39.99999,0,23034,50,23034,50147,0,1,1.499976,1.208979
10,optimal_relaxed,5.31797,0,0,51,1,209,1,0,1.501512,0.856563
11,optimal_relaxed,39.99994,0,56929,51,56929,125604,0,1,1.499994,0.493201
12,optimal_relaxed,39.99991,0,13027,50,13029,29036,0,1,1.499974,1.056883
13,optimal_relaxed,39.99999,0,2861,50,2862,6332,0,1,1.499714,3.027201
14,optimal_relaxed,39.99996,0,65949,52,65949,144840,0,1,1.499962,6.964758
15,optimal_relaxed,39.99999,0,38652,51,38652,84823,0,1,1.499967,2.71274
16,optimal_relaxed,39.99991,0,8508,51,8509,18848,0,1,1.499836,3.857472
17,optimal_relaxed,8.65402,0,0,50,2,155,1,0,1.50467,0.770553
18,optimal_relaxed,39.99867,0,1684,51,1684,4037,0,1,1.499485,2.760705
19,optimal_relaxed,39.99998,0,117066,51,117066,258047,0,1,1.499989,3.762437
20,optimal_relaxed,39.99999,0,48757,51,48757,107298,0,1,1.499976,1.991239
21,optimal_relaxed,39.99991,0,7086,50,7086,15583,0,1,1.499939,1.064277
22,optimal_relaxed,39.99995,0,32118,50,32119,71118,0,1,1.499978,1.071564
23,optimal_relaxed,5.72847,0,0,53,3,169,1,0,1.488016,2.781685
24,optimal_relaxed,5.34225,0,0,51,1,163,1,0,1.496224,1.810885
25,optimal_relaxed,4.77548,0,0,53,1,159,1,0,1.494666,1.811368
26,optimal_relaxed,39.99986,0,19047,50,19047,42265,0,1,1.499969,1.726752
27,optimal_relaxed,5.42205,0,0,55,1,185,1,0,1.503007,0.953707
28,optimal_relaxed,39.99994,0,49459,50,49462,107544,0,1,1.499912,15.016499
29,optimal_relaxed,39.99951,0,10390,54,10391,22575,0,1,1.499933,1.727981
30,optimal_relaxed,5.12678,0,0,51,2,127,1,0,1.503594,0.944851
31,optimal_relaxed,39.99998,0,24879,50,24880,54786,0,1,1.499972,2.378522
32,optimal_relaxed,5.27594,0,0,56,1,148,1,0,1.486216,2.432721
33,optimal_relaxed,39.99993,0,24597,51,24597,53930,0,1,1.499974,0.513104
34,optimal_relaxed,7.65705,0,0,51,1,241,1,0,1.498924,2.100019
35,optimal_relaxed,3.59372,0,0,50,1,175,1,0,1.50159,0.364825
36,optimal_relaxed,39.99996,0,22799,54,22800,50818,0,1,1.499983,0.998169
37,optimal_relaxed,40.0,0,182884,53,182884,402515,0,1,1.499998,0.321392
38,optimal_relaxed,5.67212,0,0,51,2,189,1,0,1.485794,3.93511
39,optimal_relaxed,4.57421,0,0,55,2,179,1,0,1.496493,1.068329
40,optimal_relaxed,39.99996,0,50739,52,50739,111590,0,1,1.499986,0.884647
41,optimal_relaxed,39.99998,0,69335,51,69335,152918,0,1,1.499979,2.132846
42,optimal_relaxed,6.98246,0,0,51,2,135,1,0,1.48952,1.788421
43,optimal_relaxed,40.0,0,89929,51,89929,197780,0,1,1.499977,4.668024
44,optimal_relaxed,40.0,0,47526,51,47526,104553,0,1,1.499957,3.915269
45,optimal_relaxed,4.10925,0,0,55,1,183,1,0,1.499437,0.698848
46,optimal_relaxed,40.0,0,133631,52,133631,294644,0,1,1.499994,1.730569
47,optimal_relaxed,39.99999,0,13066,50,13067,28753,0,1,1.499893,4.600869
48,optimal_relaxed,39.99996,0,50086,50,50087,109063,0,1,1.49997,4.402723
49,optimal_relaxed,39.99994,0,31114,50,31116,68544,0,1,1.499922,7.480705
50,optimal_relaxed,39.99996,0,14738,50,14740,32531,0,1,1.499944,1.822075
51,optimal_relaxed,39.99994,0,67027,51,67027,148374,0,1,1.499989,1.466942
52,optimal_relaxed,39.99721,0,1597,50,1597,3722,0,1,1.499088,4.067107
53,optimal_relaxed,39.99962,0,28880,52,28880,62681,0,1,1.499968,2.580175
54,optimal_relaxed,39.99982,0,4172,50,4172,9601,0,1,1.499916,1.068055
55,optimal_relaxed,8.68793,0,0,50,1,247,1,0,1.472603,7.310621
56,optimal_relaxed,39.99993,0,25372,51,25372,56383,0,1,1.499973,1.466756
57,optimal_relaxed,4.42173,0,0,50,1,123,1,0,1.483437,2.612477
58,optimal_relaxed,5.21733,0,0,53,1,183,1,0,1.493927,2.949107
59,optimal_relaxed,39.9999,0,4695,50,4695,10769,0,1,1.499514,5.393486
60,optimal_relaxed,39.99997,0,26693,50,26694,59414,0,1,1.499975,1.662387
61,optimal_relaxed,3.80331,0,0,50,1,139,1,0,1.500692,0.453757
62,optimal_relaxed,40.0,0,80202,53,80202,177799,0,1,1.499991,2.31479
63,optimal_relaxed,39.99999,0,47958,51,47959,106690,0,1,1.499968,4.195545
64,optimal_relaxed,39.99802,0,804,50,804,1775,0,1,1.498803,3.006503
65,optimal_relaxed,5.01956,0,0,54,1,151,1,0,1.494402,1.769935
66,optimal_relaxed,39.99948,0,7271,51,7271,15848,0,1,1.499869,1.964303
67,optimal_relaxed,40.0,0,25674,50,25675,56545,0,1,1.499977,1.627839
68,optimal_relaxed,39.99999,0,19957,50,19959,43799,0,1,1.499921,4.716249
69,optimal_relaxed,39.99997,0,13468,50,13468,28959,0,1,1.499969,1.055349
70,optimal_relaxed,3.03289,0,0,50,1,129,1,0,1.483774,2.605126
71,optimal_relaxed,4.71112,0,0,52,1,151,1,0,1.490181,3.475023
72,optimal_relaxed,7.09678,0,0,52,1,175,1,0,1.480406,5.065244
73,optimal_relaxed,40.0,0,39070,50,39071,86299,0,1,1.499969,3.68821
74,optimal_relaxed,4.21026,0,0,50,1,141,1,0,1.47596,3.587599
75,optimal_relaxed,6.77714,0,0,50,1,163,1,0,1.482499,4.231041
76,optimal_relaxed,39.99984,0,6913,52,6913,15548,0,1,1.499805,2.656582
77,optimal_relaxed,39.99949,0,5833,51,5833,13246,0,1,1.499503,9.90995
78,optimal_relaxed,39.99963,0,9279,52,9279,20799,0,1,1.499848,4.231744
79,optimal_relaxed,39.99994,0,53798,51,53798,119319,0,1,1.499991,1.174765
80,optimal_relaxed,4.09993,0,0,53,1,179,1,0,1.495599,1.389793
81,optimal_relaxed,3.41119,0,0,50,1,109,1,0,1.500185,1.099632
82,optimal_relaxed,2.93727,0,0,52,1,115,1,0,1.500608,0.454459
83,optimal_relaxed,5.45705,0,0,50,1,125,1,0,1.482233,4.703356
84,optimal_relaxed,39.99989,0,3540,51,3540,7789,0,1,1.499847,1.026864
85,optimal_relaxed,39.99998,0,18464,51,18466,40170,0,1,1.499893,4.452545
86,optimal_relaxed,39.99997,0,60774,50,60774,134097,0,1,1.499983,3.129665
87,optimal_relaxed,4.40382,0,0,51,1,169,1,0,1.491261,1.590678
88,optimal_relaxed,39.99992,0,41611,50,41612,91950,0,1,1.499987,1.11963
89,optimal_relaxed,9.45442,0,0,51,1,197,1,0,1.476667,5.32573
90,optimal_relaxed,39.99999,0,42625,51,42625,93924,0,1,1.499943,7.974773
91,optimal_relaxed,9.20334,0,0,51,2,163,1,0,1.487492,3.005723
92,optimal_relaxed,5.87183,0,0,50,1,175,1,0,1.493374,1.481295
93,optimal_relaxed,39.99988,0,64708,50,64709,142335,0,1,1.499991,1.009643
94,optimal_relaxed,4.28955,0,0,50,1,137,1,0,1.500535,1.950904
95,optimal_relaxed,39.99996,0,37010,50,37010,81525,0,1,1.499982,1.880699
96,optimal_relaxed,39.99995,0,16162,51,16162,35521,0,1,1.49989,3.602523
97,optimal_relaxed,3.79783,0,0,50,1,127,1,0,1.49891,1.107767
98,optimal_relaxed,6.07523,0,0,54,1,137,1,0,1.495325,2.805464
99,optimal_relaxed,9.76769,0,0,50,1,227,1,0,1.496911,2.353505
100,optimal_relaxed,39.99963,0,15679,50,15679,34530,0,1,1.499927,2.454002
101,optimal_relaxed,5.05114,0,0,51,1,183,1,0,1.491696,1.818515
102,optimal_relaxed,39.99992,0,7173,50,7173,15858,0,1,1.499922,1.328851
103,optimal_relaxed,39.99997,0,14828,51,14828,32829,0,1,1.499971,1.062732
104,optimal_relaxed,6.05781,0,0,51,1,221,1,0,1.479101,7.883588
105,optimal_relaxed,39.99998,0,36591,52,36591,80156,0,1,1.499961,3.979143
106,optimal_relaxed,39.99993,0,57023,50,57023,125970,0,1,1.499968,4.770775
107,optimal_relaxed,4.91854,0,0,51,1,171,1,0,1.469135,5.6769
108,optimal_relaxed,39.99997,0,41271,50,41271,90664,0,1,1.49999,0.519607
109,optimal_relaxed,39.99783,0,1780,51,1780,4023,0,1,1.498962,5.051326
110,optimal_relaxed,5.77566,0,0,50,2,119,1,0,1.475457,4.598017
111,optimal_relaxed,39.99966,0,16411,50,16411,35926,0,1,1.499972,0.48396
112,optimal_relaxed,39.99981,0,15082,53,15084,32903,0,1,1.499849,6.86535
113,optimal_relaxed,40.0,0,42500,50,42500,93599,0,1,1.499982,1.85167
114,optimal_relaxed,14.18115,0,0,51,3,165,1,0,1.488221,1.230643
115,optimal_relaxed,39.99998,0,15865,50,15866,34680,0,1,1.499977,0.538598
116,optimal_relaxed,39.99998,0,121560,51,121563,268727,0,1,1.499997,0.538475
117,optimal_relaxed,3.53441,0,0,51,1,157,1,0,1.489609,1.866597
118,optimal_relaxed,39.99998,0,55209,50,55209,121678,0,1,1.499979,2.631945
119,optimal_relaxed,39.99992,0,16436,53,16436,36540,0,1,1.49992,3.858042
120,optimal_relaxed,39.9996,0,8091,52,8092,18015,0,1,1.499615,6.386003
121,optimal_relaxed,4.98776,0,0,50,1,149,1,0,1.487281,2.025533
122,optimal_relaxed,39.99883,0,2496,52,2496,5697,0,1,1.499621,1.616405
123,optimal_relaxed,4.15627,0,0,50,3,103,1,0,1.487562,2.06004
124,optimal_relaxed,4.1054,0,0,50,1,147,1,0,1.478115,3.293927
125,optimal_relaxed,5.24265,0,0,50,1,133,1,0,1.498683,0.754792
126,optimal_relaxed,39.99986,0,11906,50,11906,25699,0,1,1.499974,1.05762
127,optimal_relaxed,39.99997,0,42648,50,42648,93526,0,1,1.49997,3.621722
128,optimal_relaxed,40.0,0,150214,50,150214,329731,0,1,1.499992,3.447726
129,optimal_relaxed,39.99998,0,63920,50,63920,140760,0,1,1.499978,2.91445
130,optimal_relaxed,8.35912,0,0,52,3,279,1,0,1.495681,3.605481
