metric,type,mean,std,min,max,median
final_t,uncontrolled,27.9107,16.1067,2.8411,40.0,39.9998
final_t,optimal_relaxed,28.8199,16.0849,2.0672,40.0,39.9999
final_nS,uncontrolled,0.0,0.0,0.0,0.0,0.0
final_nS,optimal_relaxed,0.0,0.0,0.0,0.0,0.0
final_nR,uncontrolled,21753.155,34164.2715,0.0,198638.0,7843.0
final_nR,optimal_relaxed,26391.6,36772.1138,0.0,211994.0,12845.5
max_nS,uncontrolled,51.07,1.5017,50.0,58.0,50.5
max_nS,optimal_relaxed,51.125,1.6611,50.0,61.0,51.0
max_nR,uncontrolled,21754.12,34164.0199,1.0,198638.0,7843.0
max_nR,optimal_relaxed,26392.51,36771.7827,1.0,211994.0,12845.5
total_steps,uncontrolled,48033.88,75155.0621,99.0,437283.0,17363.0
total_steps,optimal_relaxed,58180.45,80811.3074,97.0,468919.0,28594.5
eradicated,uncontrolled,0.365,0.4814,0.0,1.0,0.0
eradicated,optimal_relaxed,0.33,0.4702,0.0,1.0,0.0
resistance,uncontrolled,0.64,0.48,0.0,1.0,1.0
resistance,optimal_relaxed,0.675,0.4684,0.0,1.0,1.0
mean_k2,uncontrolled,1.5,0.0,1.5,1.5,1.5
mean_k2,optimal_relaxed,1.4966,0.0073,1.4598,1.508,1.4999
total_kl_cost,uncontrolled,0.0,0.0,0.0,0.0,0.0
total_kl_cost,optimal_relaxed,2.8419,2.3104,0.0082,13.8678,2.1527
