t,unc_nS_mean,unc_nS_std,unc_nR_mean,unc_nR_std,opt_nS_mean,opt_nS_std,opt_nR_mean,opt_nR_std
0.0,50.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0
0.1338,45.3451,3.9718,1.0252,0.2537,45.3733,3.791,1.0732,0.3416
0.2676,40.9267,5.1285,1.0455,0.3824,40.8113,4.5355,1.0781,0.4179
0.4013,37.3391,5.3752,1.045,0.4722,37.4381,5.255,1.1392,0.5584
0.5351,34.0799,6.2068,1.0937,0.6116,33.9944,5.4829,1.1754,0.6665
0.6689,30.9901,6.5043,1.1303,0.6427,31.0581,5.5153,1.2312,0.739
0.8027,28.0586,6.8093,1.1843,0.706,28.6077,5.9436,1.3054,0.8001
0.9365,25.2375,6.8408,1.2755,0.8427,25.8818,5.7475,1.3579,0.868
1.0702,23.132,6.8436,1.3515,0.9796,23.6556,5.9501,1.4569,0.994
1.204,21.3652,6.9894,1.3875,1.0601,21.5624,5.7133,1.5279,1.0889
1.3378,19.5512,6.6706,1.432,1.1448,19.7085,5.7764,1.6029,1.2072
1.4716,17.6768,6.4931,1.5469,1.2272,17.8377,5.5574,1.6746,1.3477
1.6054,16.0302,6.4726,1.6413,1.354,16.1167,5.4359,1.7705,1.4574
1.7391,14.4207,6.1943,1.6668,1.4371,14.8488,5.3548,1.8572,1.5499
1.8729,13.2398,5.9504,1.7585,1.4997,13.5173,5.2669,1.9441,1.7007
2.0067,12.0649,5.8295,1.8223,1.6123,12.2584,5.0204,1.9731,1.739
2.1405,11.0518,5.6183,1.8749,1.7075,11.0732,4.9935,2.0038,1.8129
2.2742,10.1432,5.4319,1.9221,1.7568,9.9382,4.8916,2.0349,1.9001
2.408,9.3814,5.3136,2.0145,1.9132,9.1768,4.8295,2.0988,1.9427
2.5418,8.41,4.9571,2.0631,2.0008,8.2953,4.8218,2.1836,2.0715
2.6756,7.6894,4.8424,2.1513,2.1857,7.4025,4.6726,2.2857,2.2291
2.8094,6.9553,4.5185,2.2157,2.247,6.6744,4.6071,2.371,2.41
2.9431,6.3049,4.3185,2.3482,2.4394,6.2112,4.4822,2.437,2.5001
3.0769,5.646,3.9632,2.4196,2.5774,5.5582,4.2294,2.5019,2.6392
3.2107,5.1799,3.8626,2.4699,2.6997,5.0229,4.1452,2.6293,2.8653
3.3445,4.8064,3.7704,2.5645,2.8803,4.5047,3.8077,2.7252,2.9945
3.4783,4.3851,3.6633,2.6258,3.0014,4.1089,3.7031,2.8051,3.0716
3.612,4.0832,3.6338,2.697,3.1194,3.698,3.5264,2.8762,3.0831
3.7458,3.7891,3.4375,2.8719,3.3927,3.3653,3.4282,2.9953,3.2402
3.8796,3.3883,3.1678,2.9879,3.593,2.991,3.2431,3.109,3.3839
4.0134,2.9565,2.8415,3.1255,3.8225,2.7392,3.2059,3.2099,3.4431
4.1472,2.7411,2.7067,3.226,3.95,2.3842,2.9035,3.3095,3.618
4.2809,2.44,2.4536,3.2797,4.0464,2.1242,2.6953,3.4077,3.7544
4.4147,2.1648,2.2826,3.3816,4.2227,1.8755,2.4513,3.4633,3.82
4.5485,1.9548,2.1255,3.4443,4.3187,1.6684,2.2781,3.5499,3.9191
4.6823,1.7313,1.9874,3.5131,4.4635,1.5274,2.2094,3.6726,4.0796
4.8161,1.5993,1.9367,3.661,4.6632,1.3673,2.069,3.8329,4.271
4.9498,1.498,1.938,3.8247,4.825,1.2225,1.8706,3.95,4.4032
5.0836,1.3344,1.8608,3.9804,5.0959,1.0809,1.7638,4.0451,4.522
5.2174,1.2442,1.8061,4.1336,5.298,1.0141,1.8388,4.2368,4.8673
5.3512,1.1635,1.7811,4.2676,5.4518,0.9564,1.7623,4.3947,5.0923
5.4849,1.0899,1.7873,4.4423,5.6413,0.8698,1.6919,4.5284,5.2211
5.6187,1.0444,1.8302,4.6419,5.9242,0.742,1.4824,4.642,5.334
5.7525,0.9414,1.7106,4.7949,6.2017,0.6536,1.3955,4.7628,5.5293
5.8863,0.8489,1.6972,4.9243,6.3252,0.5889,1.2924,4.8354,5.601
6.0201,0.7914,1.6561,5.0918,6.5842,0.5029,1.2357,4.9915,5.8004
