run_id,t,nS,nR
0,0.0,50,1
0,1.53317,17,1
0,13.99356,0,41
0,17.16478,0,93
0,18.9188,0,144
0,20.15075,0,205
0,21.05071,0,242
0,21.75525,0,280
0,22.49585,0,323
0,23.05262,0,364
0,23.57464,0,419
0,24.00686,0,465
0,24.43676,0,512
0,24.76827,0,569
0,25.07727,0,614
0,25.38295,0,658
0,25.68475,0,715
0,25.98956,0,778
0,26.24439,0,835
0,26.49247,0,881
0,26.69227,0,922
0,26.90422,0,959
0,27.10794,0,1012
0,27.29699,0,1054
0,27.49824,0,1097
0,27.65582,0,1144
0,27.84632,0,1187
0,27.98633,0,1223
0,28.13745,0,1276
0,28.27849,0,1327
0,28.42254,0,1368
0,28.53903,0,1426
0,28.703,0,1455
0,28.84743,0,1500
0,28.99521,0,1557
0,29.11394,0,1618
0,29.25326,0,1658
0,29.35679,0,1711
0,29.46414,0,1744
0,29.57178,0,1785
0,29.71289,0,1857
0,29.80352,0,1896
0,29.91378,0,1947
0,30.01268,0,2006
0,30.10701,0,2034
0,30.19346,0,2089
0,30.28483,0,2126
0,30.37769,0,2177
0,30.47014,0,2223
0,30.56019,0,2260
0,30.66754,0,2309
0,30.73515,0,2356
0,30.82323,0,2426
0,30.90317,0,2479
0,30.97437,0,2540
0,31.0516,0,2587
0,31.12407,0,2651
0,31.19494,0,2678
0,31.28529,0,2739
0,31.3584,0,2774
0,31.41642,0,2824
0,31.48693,0,2881
0,31.55293,0,2932
0,31.62315,0,2987
0,31.67567,0,3037
0,31.73553,0,3068
0,31.79956,0,3107
0,31.86554,0,3160
0,31.92431,0,3225
0,31.98529,0,3277
0,32.04751,0,3316
0,32.11104,0,3357
0,32.17271,0,3398
0,32.22501,0,3454
0,32.28663,0,3493
0,32.3459,0,3534
0,32.39314,0,3589
0,32.45268,0,3633
0,32.50351,0,3672
0,32.55163,0,3717
0,32.60966,0,3774
0,32.65691,0,3838
0,32.71077,0,3895
0,32.75988,0,3954
0,32.81167,0,4017
0,32.8541,0,4085
0,32.90164,0,4142
0,32.95729,0,4205
0,33.01131,0,4252
0,33.06438,0,4312
0,33.11109,0,4373
0,33.15202,0,4424
0,33.19703,0,4483
0,33.23982,0,4533
0,33.28522,0,4592
0,33.32721,0,4645
0,33.36955,0,4708
0,33.40829,0,4748
0,33.44615,0,4793
0,33.48444,0,4830
0,33.52388,0,4883
0,33.56475,0,4928
0,33.60216,0,4966
0,33.64189,0,5017
0,33.67552,0,5072
0,33.71714,0,5115
0,33.76441,0,5165
0,33.80047,0,5226
0,33.83726,0,5277
0,33.86962,0,5318
0,33.90991,0,5372
0,33.94704,0,5435
0,33.98228,0,5466
0,34.01399,0,5511
0,34.05034,0,5561
0,34.0855,0,5608
0,34.12206,0,5643
0,34.15482,0,5696
0,34.19705,0,5744
0,34.23287,0,5789
0,34.26908,0,5840
0,34.30264,0,5875
0,34.33158,0,5915
0,34.37207,0,5956
0,34.40596,0,5997
0,34.43757,0,6052
0,34.46473,0,6108
0,34.4975,0,6159
0,34.52972,0,6198
0,34.5592,0,6235
0,34.58834,0,6307
0,34.61918,0,6346
0,34.6539,0,6413
0,34.68657,0,6454
0,34.72006,0,6505
0,34.75161,0,6563
0,34.7825,0,6614
0,34.81485,0,6681
0,34.83833,0,6740
0,34.8636,0,6802
0,34.88901,0,6855
0,34.92009,0,6920
0,34.95643,0,6959
0,34.98806,0,7005
0,35.01372,0,7064
0,35.04557,0,7099
0,35.07283,0,7136
0,35.10136,0,7188
0,35.1299,0,7221
0,35.15333,0,7274
0,35.17854,0,7345
0,35.20256,0,7385
0,35.22768,0,7438
0,35.25753,0,7499
0,35.28864,0,7552
0,35.31099,0,7610
0,35.33624,0,7665
0,35.36028,0,7720
0,35.38354,0,7751
0,35.40653,0,7787
0,35.43039,0,7848
0,35.45348,0,7911
0,35.47804,0,7948
0,35.4994,0,8000
0,35.52389,0,8049
0,35.54572,0,8094
0,35.56836,0,8139
0,35.59426,0,8206
0,35.62064,0,8252
0,35.64245,0,8295
0,35.6642,0,8364
0,35.68701,0,8421
0,35.70848,0,8469
0,35.73467,0,8524
