run_id,type,final_t,final_nS,final_nR,max_nS,max_nR,total_steps,eradicated,resistance,mean_k2,total_kl_cost
0,optimal_relaxed,39.99998,0,24815,50,24815,54512,0,1,1.499955,2.900718
1,optimal_relaxed,5.85036,0,0,50,1,145,1,0,1.493607,1.269792
2,optimal_relaxed,39.99996,0,56313,52,56314,123210,0,1,1.499994,0.46159
3,optimal_relaxed,39.99998,0,77818,53,77818,172499,0,1,1.499993,1.581108
4,optimal_relaxed,4.7441,0,0,51,1,169,1,0,1.491691,2.368606
5,optimal_relaxed,3.139,0,0,51,1,151,1,0,1.499309,0.589209
6,optimal_relaxed,39.99999,0,61757,52,61757,137525,0,1,1.499986,1.622823
7,optimal_relaxed,9.04826,0,0,50,2,144,1,0,1.478798,3.152717
8,optimal_relaxed,4.62601,0,0,55,1,179,1,0,1.493774,2.252473
9,optimal_relaxed,39.99981,0,12888,50,12888,29063,0,1,1.49995,2.368223
10,optimal_relaxed,39.99974,0,7047,51,7047,15388,0,1,1.499819,4.333461
11,optimal_relaxed,6.16032,0,0,53,1,177,1,0,1.493242,2.40805
12,optimal_relaxed,7.40259,0,0,53,1,209,1,0,1.502512,0.982451
13,optimal_relaxed,39.99998,0,14403,52,14403,31822,0,1,1.499973,0.99473
14,optimal_relaxed,3.19213,0,0,50,1,141,1,0,1.496887,1.141235
15,optimal_relaxed,39.99997,0,34082,50,34082,74687,0,1,1.499887,10.057932
16,optimal_relaxed,39.99998,0,92498,50,92498,201765,0,1,1.499985,3.855846
17,optimal_relaxed,39.99999,0,108340,50,108340,239013,0,1,1.499996,0.373196
18,optimal_relaxed,39.99965,0,7010,51,7011,15515,0,1,1.499906,2.077852
19,optimal_relaxed,5.36093,0,0,51,2,179,1,0,1.485125,5.535917
20,optimal_relaxed,39.99805,0,919,50,921,2254,0,1,1.499355,1.573803
21,optimal_relaxed,39.99996,0,26469,51,26471,58337,0,1,1.49997,1.598305
22,optimal_relaxed,39.99996,0,9871,50,9872,22076,0,1,1.499899,1.999211
23,optimal_relaxed,39.99999,0,52376,50,52376,115849,0,1,1.499986,1.461754
24,optimal_relaxed,5.47497,0,0,50,2,125,1,0,1.480535,2.661603
25,optimal_relaxed,39.99998,0,106876,50,106876,236759,0,1,1.499998,0.278039
26,optimal_relaxed,39.99956,0,6135,50,6135,13464,0,1,1.499778,2.163994
27,optimal_relaxed,5.73249,0,0,53,1,157,1,0,1.507998,0.422873
28,optimal_relaxed,39.99999,0,151371,51,151371,330739,0,1,1.499999,0.161257
29,optimal_relaxed,4.57248,0,0,51,1,151,1,0,1.488652,2.966432
30,optimal_relaxed,40.0,0,25876,50,25879,56365,0,1,1.499985,1.124314
31,optimal_relaxed,39.99999,0,99063,53,99064,218315,0,1,1.499996,0.474217
32,optimal_relaxed,39.99943,0,2529,50,2530,5840,0,1,1.499621,2.276631
33,optimal_relaxed,39.99976,0,4302,52,4304,9897,0,1,1.499759,4.074413
34,optimal_relaxed,39.99996,0,27276,51,27276,60509,0,1,1.499963,3.219464
35,optimal_relaxed,39.99996,0,78426,50,78427,174219,0,1,1.499986,3.123592
36,optimal_relaxed,39.99998,0,20672,50,20672,46245,0,1,1.499961,2.668226
37,optimal_relaxed,2.06718,0,0,50,1,117,1,0,1.496768,1.08132
38,optimal_relaxed,40.0,0,211994,50,211994,468919,0,1,1.499998,0.585257
39,optimal_relaxed,39.99983,0,13984,51,13985,30978,0,1,1.499865,5.023528
40,optimal_relaxed,11.14793,0,0,52,2,97,1,0,1.485493,2.018253
41,optimal_relaxed,40.0,0,34743,50,34743,76577,0,1,1.499949,3.710327
42,optimal_relaxed,39.99992,0,12481,50,12482,27840,0,1,1.499956,1.724268
43,optimal_relaxed,39.99576,0,702,51,704,1747,0,1,1.498803,2.632012
44,optimal_relaxed,8.65766,0,0,50,3,213,1,0,1.495286,1.210231
45,optimal_relaxed,40.0,0,176768,50,176768,385612,0,1,1.499995,1.615788
46,optimal_relaxed,4.80121,0,0,52,1,139,1,0,1.49893,0.666653
47,optimal_relaxed,40.0,0,4763,50,4763,10882,0,1,1.49977,3.299891
48,optimal_relaxed,3.27316,0,0,50,1,141,1,0,1.501459,0.420798
49,optimal_relaxed,5.05306,0,0,51,1,179,1,0,1.497005,2.634539
